coding_block,occ1990dd,census_code,employed_thousands
2011_2019,27,630,5934.181117016667
2011_2019,27,640,595.5390796166666
2011_2019,27,650,1157.2806227583333
2011_2019,28,510,114.35008863333334
2011_2019,29,520,1810.628260225
2011_2019,33,150,1854.6958233083335
2011_2019,33,530,2412.4748423416668
2011_2019,34,500,442.5947087833333
2011_2019,35,6660,858.5443246166666
2011_2019,36,565,2191.352159291667
2011_2019,36,900,129.824701125
2011_2019,37,425,73.67815809166667
2011_2019,37,740,2203.669487116667
2011_2019,43,1300,1899.2768672916668
2011_2019,44,1320,1250.5361902000002
2011_2019,45,1450,342.0362219166667
2011_2019,47,1520,287.77311377499996
2011_2019,48,1350,683.5540755999999
2011_2019,53,1360,3630.602100775
2011_2019,55,1400,711.1348350916667
2011_2019,55,1410,2652.0739175
2011_2019,56,1430,1904.7038177333334
2011_2019,57,1460,2943.77354485
2011_2019,59,1330,2.408536925
2011_2019,59,1340,129.37889915
2011_2019,59,1420,335.42690922500003
2011_2019,59,1440,102.85500204166667
2011_2019,59,1500,103.70893635
2011_2019,59,1510,83.65383774166668
2011_2019,59,1530,4256.264580966667
2011_2019,64,1005,206.80850007499998
2011_2019,64,1006,4941.152812616666
2011_2019,64,1007,700.541304125
2011_2019,64,1020,12334.134046725001
2011_2019,64,1030,1799.996160975
2011_2019,64,1050,4671.3968441
2011_2019,64,1060,935.1107781499999
2011_2019,64,1105,1919.981622925
2011_2019,64,1106,1037.3190834166667
2011_2019,64,1107,4953.6264685999995
2011_2019,65,700,999.1295516166666
2011_2019,65,1220,1196.6701110749998
2011_2019,66,1200,230.06164964166663
2011_2019,68,1210,3.9730227916666667
2011_2019,68,1230,53.23072535833333
2011_2019,68,1240,708.3717908166667
2011_2019,69,1700,164.19810406666664
2011_2019,73,1720,931.9859302916666
2011_2019,74,1710,90.52540160833334
2011_2019,75,1740,874.3622614333334
2011_2019,76,1760,2046.4947585999998
2011_2019,77,1600,322.4560006666667
2011_2019,78,1610,924.7497566166668
2011_2019,79,1640,238.533159825
2011_2019,83,1650,1404.0860976333336
2011_2019,83,1660,0.6805485250000001
2011_2019,84,3060,9039.694414841666
2011_2019,85,3010,1568.5398494
2011_2019,86,3250,813.32321235
2011_2019,87,3040,375.1526181583333
2011_2019,88,3120,11.170709591666668
2011_2019,89,3000,539.84148195
2011_2019,89,3260,261.7046727833333
2011_2019,95,3255,27121.689028175
2011_2019,95,3256,257.5210083083333
2011_2019,95,3257,6.225142108333333
2011_2019,95,3258,1439.8417907916667
2011_2019,96,3050,2751.5113063
2011_2019,97,3030,1028.4681800833332
2011_2019,98,3220,981.9094000583333
2011_2019,99,3150,1063.046911425
2011_2019,99,3610,208.67635136666667
2011_2019,103,3160,2317.3671557083335
2011_2019,103,3620,691.6654418416666
2011_2019,104,3140,139.37987499166667
2011_2019,104,3230,1339.9340171416666
2011_2019,105,3200,126.98904001666665
2011_2019,105,3210,95.84226608333333
2011_2019,105,3235,2.0694754583333332
2011_2019,105,3245,1742.9955245666667
2011_2019,106,3110,949.1885485083335
2011_2019,154,2200,12297.979968833333
2011_2019,155,2300,6235.864945275
2011_2019,156,2310,28524.28529473333
2011_2019,157,2320,9783.231174241666
2011_2019,158,2330,3279.44627345
2011_2019,159,2340,7871.674678108333
2011_2019,159,2540,8594.906232425
2011_2019,159,2550,1512.5812931500002
2011_2019,163,2000,7222.565387974999
2011_2019,164,2430,1683.0877752083336
2011_2019,165,2400,429.9215527916667
2011_2019,166,735,2582.1269528999997
2011_2019,166,1800,275.62113799166667
2011_2019,166,1815,4.033652975
2011_2019,167,1820,1798.1261263833335
